kbd 2.2.0-5
kbookmarks 5.68.0-1
kcalc 19.12.3-1
kcmutils 5.68.0-1
kcodecs 5.68.0-1
kcompletion 5.68.0-1
kconfig 5.68.0-1
kconfigwidgets 5.68.0-1
kcoreaddons 5.68.0-1
kcrash 5.68.0-1
kdbusaddons 5.68.0-1
kdeclarative 5.68.0-1
kdnssd 5.68.0-1
keyutils 1.6.1-3
kfilemetadata 5.68.0-1
kglobalaccel 5.68.0-1
kguiaddons 5.68.0-1
ki18n 5.68.0-1
kiconthemes 5.68.0-1
kidletime 5.68.0-1
kinit 5.68.0-1
kio 5.68.0-1
kio-extras 19.12.3-1
kitemviews 5.68.0-1
kjobwidgets 5.68.0-1
kmod 27-1
knewstuff 5.68.0-1
knotifications 5.68.0-1
kpackage 5.68.0-1
kparts 5.68.0-1
kpty 5.68.0-1
krb5 1.18-1
kservice 5.68.0-1
ktextwidgets 5.68.0-1
kwallet 5.68.0-1
kwidgetsaddons 5.68.0-1
kwindowsystem 5.68.0-1
kxmlgui 5.68.0-1
l-smash 2.14.5-1
lame 3.100-2
lcms2 2.9-2
ldb 1:2.0.7-2
ldns 1.7.1-2
lemonbar-git v1.3.r2.g35183ab-1
less 551-3
libaio 0.3.112-2
libao 1.2.2-2
libarchive 3.4.2-1
libass 0.14.0-1
libassuan 2.5.3-2
libasyncns 0.8+3+g68cd5af-2
libatasmart 0.19-4
libavc1394 0.5.4-3
libblockdev 2.23-3
libbluray 1.2.0-1
libbsd 0.10.0-1
libbytesize 2.2-1
libcanberra 0.30+2+gc0620e4-2
libcap 2.33-1
libcap-ng 0.7.10-1
libcddb 1.3.2-5
libcdio 2.1.0-1
libcdio-paranoia 10.2+2.0.1-1
libconfig 1.7.2-2
libcroco 0.6.13-1
libcups 2.3.1-1
libdaemon 0.14-4
libdatrie 0.2.12-1
libdbusmenu-glib 16.04.0-4
libdbusmenu-qt5 0.9.3+16.04.20160218-4
libdca 0.0.7-1
libdiscid 0.6.2-2
libdrm 2.4.100-1
libdvbpsi 1:1.3.3-2
libebml 1.3.10-2
libedit 20191231_3.1-1
libelf 0.178-2
libepoxy 1.5.4-1
libev 4.33-1
libevdev 1.9.0-1
libevent 2.1.11-5
